	n	pred
0	0.1	0.08724674
1	0.1	0.28268844
2	0.1	0.45352042
3	0.1	0.28728667
4	0.1	0.17745025
5	0.1	0.30411094
6	0.1	0.2721861
7	0.1	0.17600112
8	0.1	0.45266995
9	0.1	0.35952216
10	0.1	0.37815237
11	0.1	0.3276105
12	0.1	0.34940073
13	0.1	0.42037922
14	0.1	0.36511335
15	0.1	0.053302333
16	0.1	0.420237
17	0.1	0.23106627
18	0.1	0.3079723
19	0.1	0.3928511
20	0.4	0.42521396
21	0.4	0.39541987
22	0.4	0.5027554
23	0.4	0.49952704
24	0.4	0.41384926
25	0.4	0.5195173
26	0.4	0.4960733
27	0.4	0.3872306
28	0.4	0.4260188
29	0.4	0.48516828
30	0.4	0.51327854
31	0.4	0.48298335
32	0.4	0.40434578
33	0.4	0.17809354
34	0.4	0.17809752
35	0.4	0.4258846
36	0.4	0.47830153
37	0.4	0.53763074
38	0.4	0.4806101
39	0.4	0.5160605
40	0.7000000000000001	0.32186568
41	0.7000000000000001	0.23563348
42	0.7000000000000001	0.5302959
43	0.7000000000000001	0.5245096
44	0.7000000000000001	0.49491835
45	0.7000000000000001	0.4615694
46	0.7000000000000001	0.41846827
47	0.7000000000000001	0.5462393
48	0.7000000000000001	0.42368963
49	0.7000000000000001	0.5415069
50	0.7000000000000001	0.4736494
51	0.7000000000000001	0.18554427
52	0.7000000000000001	0.41080087
53	0.7000000000000001	0.5139495
54	0.7000000000000001	0.51950485
55	0.7000000000000001	0.44860178
56	0.7000000000000001	0.4034766
57	0.7000000000000001	0.39432728
58	0.7000000000000001	0.41890454
59	0.7000000000000001	0.45463675
60	1.0000000000000002	0.529401
61	1.0000000000000002	0.42751238
62	1.0000000000000002	0.4818182
63	1.0000000000000002	0.5965046
64	1.0000000000000002	0.4673367
65	1.0000000000000002	0.4562425
66	1.0000000000000002	0.5244845
67	1.0000000000000002	0.49142843
68	1.0000000000000002	0.49166748
69	1.0000000000000002	0.28666
70	1.0000000000000002	0.383488
71	1.0000000000000002	0.52430856
72	1.0000000000000002	0.5375043
73	1.0000000000000002	0.6516985
74	1.0000000000000002	0.5288997
75	1.0000000000000002	0.38489395
76	1.0000000000000002	0.4262249
77	1.0000000000000002	0.20615108
78	1.0000000000000002	0.46404326
79	1.0000000000000002	0.50972176
80	1.3000000000000003	0.51150066
81	1.3000000000000003	0.44758686
82	1.3000000000000003	0.4106592
83	1.3000000000000003	0.386088
84	1.3000000000000003	0.5797073
85	1.3000000000000003	0.49106503
86	1.3000000000000003	0.44076294
87	1.3000000000000003	0.39819068
88	1.3000000000000003	0.527841
89	1.3000000000000003	0.53624135
90	1.3000000000000003	0.4693503
91	1.3000000000000003	0.49857295
92	1.3000000000000003	0.45820773
93	1.3000000000000003	0.4973103
94	1.3000000000000003	0.4512928
95	1.3000000000000003	0.17340101
96	1.3000000000000003	0.5339298
97	1.3000000000000003	0.4879232
98	1.3000000000000003	0.3791188
99	1.3000000000000003	0.55245537
100	1.6000000000000003	0.45667654
101	1.6000000000000003	0.43635985
102	1.6000000000000003	0.52295035
103	1.6000000000000003	0.32182592
104	1.6000000000000003	0.5689405
105	1.6000000000000003	0.47185037
106	1.6000000000000003	0.44656426
107	1.6000000000000003	0.57871306
108	1.6000000000000003	0.51691943
109	1.6000000000000003	0.4911952
110	1.6000000000000003	0.50146985
111	1.6000000000000003	0.54005593
112	1.6000000000000003	0.4444953
113	1.6000000000000003	0.339514
114	1.6000000000000003	0.5544266
115	1.6000000000000003	0.532895
116	1.6000000000000003	0.56734645
117	1.6000000000000003	0.5711073
118	1.6000000000000003	0.4546727
119	1.6000000000000003	0.49294275
120	1.9000000000000004	0.5185163
121	1.9000000000000004	0.46557516
122	1.9000000000000004	0.506621
123	1.9000000000000004	0.45624655
124	1.9000000000000004	0.45144644
125	1.9000000000000004	0.5368463
126	1.9000000000000004	0.50654006
127	1.9000000000000004	0.6342387
128	1.9000000000000004	0.61228675
129	1.9000000000000004	0.5045186
130	1.9000000000000004	0.563074
131	1.9000000000000004	0.42490044
132	1.9000000000000004	0.2085207
133	1.9000000000000004	0.5573856
134	1.9000000000000004	0.516207
135	1.9000000000000004	0.43079025
136	1.9000000000000004	0.52711606
137	1.9000000000000004	0.47809708
138	1.9000000000000004	0.40546733
139	1.9000000000000004	0.41762492
140	2.2000000000000006	0.61141706
141	2.2000000000000006	0.51977056
142	2.2000000000000006	0.41718158
143	2.2000000000000006	0.52807885
144	2.2000000000000006	0.47502634
145	2.2000000000000006	0.3230579
146	2.2000000000000006	0.44588333
147	2.2000000000000006	0.57003677
148	2.2000000000000006	0.33458725
149	2.2000000000000006	0.4294128
150	2.2000000000000006	0.5538645
151	2.2000000000000006	0.38761503
152	2.2000000000000006	0.556002
153	2.2000000000000006	0.60156506
154	2.2000000000000006	0.54341346
155	2.2000000000000006	0.41961962
156	2.2000000000000006	0.5140409
157	2.2000000000000006	0.42940328
158	2.2000000000000006	0.509636
159	2.2000000000000006	0.54570895
