	n	pred
0	0	0.49927026
1	0	0.44287175
2	0	0.5291273
3	0	0.61282015
4	0	-0.07762876
5	0	0.4679052
6	0	0.58707446
7	0	0.3602202
8	0	0.6071505
9	0	0.6677041
10	0	0.45861349
11	0	0.5964052
12	0	0.5033753
13	0	0.59423524
14	0	0.60212284
15	0	0.4003867
16	0	0.46522027
17	0	0.44312972
18	0	0.50420773
19	0	0.6580994
20	3	0.6212213
21	3	0.36392277
22	3	0.6101604
23	3	0.54528934
24	3	0.43801096
25	3	0.7046652
26	3	0.4708807
27	3	0.5599057
28	3	0.6375172
29	3	0.5297565
30	3	0.5916313
31	3	0.6124204
32	3	0.5347105
33	3	0.2852647
34	3	0.41828012
35	3	0.50881845
36	3	0.49958295
37	3	0.58613044
38	3	0.5356965
39	3	0.58532745
40	6	0.44580534
41	6	0.2749418
42	6	0.682435
43	6	0.6007285
44	6	0.6212849
45	6	0.49053508
46	6	0.42687935
47	6	0.5929091
48	6	0.553709
49	6	0.7009605
50	6	0.6129336
51	6	0.3918362
52	6	0.33311436
53	6	0.5853041
54	6	0.54173446
55	6	0.49310958
56	6	0.4540929
57	6	0.462381
58	6	0.5026269
59	6	0.4997012
60	9	0.6082515
61	9	0.4582467
62	9	0.45681736
63	9	0.58196527
64	9	0.5814354
65	9	0.5336192
66	9	0.53010106
67	9	0.42872745
68	9	0.4409562
69	9	0.4838152
70	9	0.4859956
71	9	0.5214251
72	9	0.60953385
73	9	0.5640143
74	9	0.5424206
75	9	0.39247096
76	9	0.5115767
77	9	0.5847094
78	9	0.21077862
79	9	0.5635788
80	12	0.18393096
81	12	0.4428627
82	12	0.48395768
83	12	0.58737
84	12	0.53719944
85	12	0.3241502
86	12	0.43059903
87	12	0.40296602
88	12	0.5672656
89	12	0.23715606
90	12	0.4691824
91	12	0.37536058
92	12	0.4185212
93	12	0.4425336
94	12	0.4260348
95	12	-0.101001054
96	12	0.5854154
97	12	0.40598363
98	12	0.27968338
99	12	0.5409724
100	15	0.47171852
101	15	0.18711683
102	15	0.6121045
103	15	0.21020788
104	15	0.42213488
105	15	0.47877645
106	15	0.38665184
107	15	0.3152074
108	15	0.5580202
109	15	0.5201095
110	15	0.5005955
111	15	0.39245427
112	15	0.32359403
113	15	0.44635618
114	15	0.26335728
115	15	0.41755164
116	15	0.414342
117	15	0.60132223
118	15	0.54920596
119	15	0.119302735
120	18	0.48212725
121	18	0.3651794
122	18	0.45497966
123	18	0.23335907
124	18	0.16269283
125	18	0.54304546
126	18	0.19108497
127	18	0.4652771
128	18	0.31745023
129	18	0.38282117
130	18	0.53310436
131	18	0.36586228
132	18	0.2829001
133	18	0.5078557
134	18	0.06112425
135	18	0.3363845
136	18	0.37282434
137	18	0.3506276
138	18	0.30268797
139	18	0.040269803
140	21	0.40628964
141	21	0.26971206
142	21	0.22939292
143	21	0.4524105
144	21	0.29343063
145	21	0.28036258
146	21	0.30869532
147	21	-0.34975678
148	21	-0.09343736
149	21	0.37725168
150	21	0.2570339
151	21	0.40342015
152	21	0.14293528
153	21	0.22707285
154	21	0.40787038
155	21	-0.16608678
156	21	-0.07548031
157	21	0.07504906
158	21	0.21655852
159	21	0.33936623
