	n	pred
0	0	0.5439784
1	0	0.51577574
2	0	0.65311223
3	0	0.6233107
4	0	0.20402135
5	0	0.44829917
6	0	0.5582233
7	0	0.5605246
8	0	0.6034514
9	0	0.49811432
10	0	0.6417429
11	0	0.58698654
12	0	0.7063469
13	0	0.74566984
14	0	0.55962545
15	0	0.53176594
16	0	0.60934955
17	0	0.55394804
18	0	0.5534166
19	0	0.55255455
20	3	0.6004358
21	3	0.5538946
22	3	0.70567876
23	3	0.57718533
24	3	0.5456512
25	3	0.65288746
26	3	0.56746
27	3	0.52869827
28	3	0.6204216
29	3	0.65393806
30	3	0.5616995
31	3	0.6788359
32	3	0.5134711
33	3	0.39421633
34	3	0.5215636
35	3	0.5536087
36	3	0.56970894
37	3	0.65815246
38	3	0.61146176
39	3	0.60309404
40	6	0.52967584
41	6	0.38308835
42	6	0.6185456
43	6	0.62201583
44	6	0.5355449
45	6	0.5420926
46	6	0.5224638
47	6	0.57400906
48	6	0.4564047
49	6	0.5964099
50	6	0.6255023
51	6	0.33617634
52	6	0.57596993
53	6	0.59968233
54	6	0.7068591
55	6	0.5674086
56	6	0.3770324
57	6	0.43429586
58	6	0.4834739
59	6	0.48484603
60	9	0.60461706
61	9	0.53777647
62	9	0.5119888
63	9	0.614624
64	9	0.66281027
65	9	0.45097658
66	9	0.57150763
67	9	0.4223586
68	9	0.5106961
69	9	0.5614332
70	9	0.50124633
71	9	0.57582486
72	9	0.552818
73	9	0.6273854
74	9	0.5914147
75	9	0.41235793
76	9	0.518557
77	9	0.6816017
78	9	0.39773977
79	9	0.7066333
80	12	0.4257927
81	12	0.5218114
82	12	0.53835845
83	12	0.44901356
84	12	0.7017642
85	12	0.29139894
86	12	0.49050763
87	12	0.47625682
88	12	0.5205123
89	12	0.43238804
90	12	0.48788485
91	12	0.48111904
92	12	0.44919395
93	12	0.57294035
94	12	0.6001162
95	12	0.044620696
96	12	0.62831914
97	12	0.43518096
98	12	0.36610228
99	12	0.6179013
100	15	0.44631788
101	15	0.26229188
102	15	0.6140031
103	15	0.29614463
104	15	0.53846353
105	15	0.3091764
106	15	0.3484822
107	15	0.379775
108	15	0.5331525
109	15	0.4889466
110	15	0.48197636
111	15	0.44281536
112	15	0.36247456
113	15	0.32440767
114	15	0.47640696
115	15	0.4780408
116	15	0.44972032
117	15	0.5462578
118	15	0.44312936
119	15	0.1050587
120	18	0.55121887
121	18	0.34415233
122	18	0.31813377
123	18	0.28272295
124	18	0.22942999
125	18	0.4141186
126	18	0.35313177
127	18	0.49442494
128	18	0.46389544
129	18	0.51188034
130	18	0.53114057
131	18	0.36605
132	18	0.194809
133	18	0.4600169
134	18	0.37832725
135	18	0.30844375
136	18	0.4642162
137	18	0.37098712
138	18	0.30708534
139	18	0.41093716
140	21	0.332062
141	21	0.3335807
142	21	0.35298252
143	21	0.40574393
144	21	0.21968108
145	21	0.2547428
146	21	0.011729715
147	21	0.19955987
148	21	0.22734119
149	21	0.33829823
150	21	0.3262813
151	21	0.42481846
152	21	-0.0031194165
153	21	0.23616229
154	21	0.47403282
155	21	0.053664748
156	21	0.08276644
157	21	0.2931747
158	21	0.3569894
159	21	0.37891662
