	n	pred
0	0	0.49669752
1	0	0.44030148
2	0	0.56282115
3	0	0.52958614
4	0	0.34440976
5	0	0.4102136
6	0	0.43618053
7	0	0.42135608
8	0	0.50205827
9	0	0.50504285
10	0	0.48455423
11	0	0.50214005
12	0	0.5507648
13	0	0.5203815
14	0	0.5271161
15	0	0.36017647
16	0	0.599127
17	0	0.41823065
18	0	0.5324144
19	0	0.48468584
20	3	0.4695257
21	3	0.42834654
22	3	0.5973206
23	3	0.5385822
24	3	0.394165
25	3	0.6424231
26	3	0.5040403
27	3	0.46442276
28	3	0.5332967
29	3	0.55985606
30	3	0.51606315
31	3	0.55680776
32	3	0.48127174
33	3	0.36172855
34	3	0.40255025
35	3	0.44570577
36	3	0.54531306
37	3	0.6303858
38	3	0.47780338
39	3	0.5651422
40	6	0.42741537
41	6	0.25510624
42	6	0.55779374
43	6	0.5182625
44	6	0.48714724
45	6	0.43942845
46	6	0.43524873
47	6	0.5221819
48	6	0.47963208
49	6	0.52608865
50	6	0.53167737
51	6	0.2986937
52	6	0.39667922
53	6	0.5603006
54	6	0.52576274
55	6	0.47026184
56	6	0.4781543
57	6	0.3455392
58	6	0.38410375
59	6	0.46625984
60	9	0.4889912
61	9	0.39445063
62	9	0.47483966
63	9	0.4921021
64	9	0.5652723
65	9	0.37144303
66	9	0.49623942
67	9	0.37778795
68	9	0.44824946
69	9	0.37615666
70	9	0.43579882
71	9	0.5101422
72	9	0.482575
73	9	0.58810097
74	9	0.5023279
75	9	0.39254013
76	9	0.4311545
77	9	0.41642392
78	9	0.31512687
79	9	0.49561697
80	12	0.32768503
81	12	0.42832163
82	12	0.37695682
83	12	0.3765333
84	12	0.554943
85	12	0.32926512
86	12	0.40612492
87	12	0.38698515
88	12	0.452103
89	12	0.44012284
90	12	0.38836202
91	12	0.38329113
92	12	0.38843814
93	12	0.48222375
94	12	0.43348056
95	12	0.18455507
96	12	0.46386683
97	12	0.3988014
98	12	0.26542673
99	12	0.44262633
100	15	0.41626823
101	15	0.2676517
102	15	0.4658662
103	15	0.24405357
104	15	0.3719225
105	15	0.20842583
106	15	0.2661231
107	15	0.45082143
108	15	0.26777834
109	15	0.3428321
110	15	0.41104147
111	15	0.38609856
112	15	0.30775365
113	15	0.33088768
114	15	0.24226116
115	15	0.4592141
116	15	0.40288317
117	15	0.525588
118	15	0.2922566
119	15	0.025013598
120	18	0.4077826
121	18	0.29018745
122	18	0.32144865
123	18	0.21437211
124	18	0.24838929
125	18	0.19772221
126	18	0.29857156
127	18	0.4294689
128	18	0.26202872
129	18	0.45011932
130	18	0.47584063
131	18	0.17997578
132	18	-0.018442156
133	18	0.49574092
134	18	0.32959992
135	18	0.3148662
136	18	0.33068734
137	18	0.14307521
138	18	0.21663816
139	18	-0.0005713627
140	21	0.22452495
141	21	0.39622238
142	21	0.07955016
143	21	0.33702096
144	21	0.29785335
145	21	0.023458254
146	21	0.11456671
147	21	0.065468
148	21	-0.32119617
149	21	0.24151988
150	21	0.16788323
151	21	0.3472358
152	21	0.08103098
153	21	0.15248184
154	21	0.23737077
155	21	-0.11551957
156	21	0.13587141
157	21	0.23800845
158	21	0.14207149
159	21	0.09107834
