	n	pred
0	0	0.503123
1	0	0.38326138
2	0	0.5110668
3	0	0.4001997
4	0	0.10082668
5	0	0.4397374
6	0	0.47246984
7	0	0.43337676
8	0	0.51876146
9	0	0.35277072
10	0	0.41208252
11	0	0.45502648
12	0	0.53103673
13	0	0.55722076
14	0	0.44593582
15	0	0.43551657
16	0	0.37557453
17	0	0.37342176
18	0	0.51797646
19	0	0.43983757
20	3	0.3865379
21	3	0.47987983
22	3	0.53654975
23	3	0.47472793
24	3	0.3440984
25	3	0.44637617
26	3	0.37716162
27	3	0.3423536
28	3	0.49522457
29	3	0.5428306
30	3	0.43594125
31	3	0.48182416
32	3	0.58526725
33	3	0.35192809
34	3	0.36685202
35	3	0.5009557
36	3	0.50483054
37	3	0.43138885
38	3	0.48833963
39	3	0.5035016
40	6	0.48976102
41	6	0.22232348
42	6	0.5071458
43	6	0.50299937
44	6	0.43555394
45	6	0.49867633
46	6	0.36574063
47	6	0.52316654
48	6	0.46644795
49	6	0.39131746
50	6	0.4270405
51	6	0.36130664
52	6	0.5418355
53	6	0.39561138
54	6	0.48103216
55	6	0.5165819
56	6	0.33234373
57	6	0.33109307
58	6	0.3865059
59	6	0.3220655
60	9	0.45242503
61	9	0.39333153
62	9	0.49649695
63	9	0.54694456
64	9	0.44959998
65	9	0.3694848
66	9	0.4831758
67	9	0.43787217
68	9	0.45102844
69	9	0.3012197
70	9	0.25988075
71	9	0.58471423
72	9	0.5034763
73	9	0.42119202
74	9	0.49357125
75	9	0.2712499
76	9	0.42815262
77	9	0.35130996
78	9	0.35198343
79	9	0.542306
80	12	0.30552924
81	12	0.4278125
82	12	0.4881112
83	12	0.40462002
84	12	0.4666663
85	12	0.32698762
86	12	0.43776998
87	12	0.39017847
88	12	0.32548335
89	12	0.2946336
90	12	0.40635255
91	12	0.4024172
92	12	0.2542529
93	12	0.42228493
94	12	0.4619072
95	12	0.09558115
96	12	0.4681549
97	12	0.4277393
98	12	0.36111817
99	12	0.55439997
100	15	0.3853199
101	15	0.40358344
102	15	0.3634665
103	15	0.2542085
104	15	0.43596306
105	15	0.45844522
106	15	0.3802086
107	15	0.21611634
108	15	0.43750697
109	15	0.36716422
110	15	0.37458333
111	15	0.2960513
112	15	0.30230692
113	15	0.32106522
114	15	0.3293723
115	15	0.42396888
116	15	0.3527382
117	15	0.5131845
118	15	0.31617588
119	15	0.2562159
120	18	0.371498
121	18	0.25684905
122	18	0.5720094
123	18	0.25738767
124	18	0.26136333
125	18	0.37727156
126	18	0.32730117
127	18	0.23043464
128	18	0.3553283
129	18	0.3631561
130	18	0.37788865
131	18	0.20029248
132	18	0.13371503
133	18	0.33476162
134	18	0.28474277
135	18	0.21956982
136	18	0.42617586
137	18	0.40935588
138	18	0.22756241
139	18	0.28792796
140	21	0.26288956
141	21	0.20238318
142	21	0.20221004
143	21	0.26212847
144	21	0.25484386
145	21	0.04989484
146	21	0.12262991
147	21	-0.6516418
148	21	0.20478912
149	21	0.2412515
150	21	0.15765
151	21	0.37045696
152	21	0.15687938
153	21	0.20188044
154	21	0.2176449
155	21	-0.035256114
156	21	-0.11216458
157	21	0.26652136
158	21	0.19939843
159	21	0.36258802
