	n	pred
0	1	0.4511506
1	1	0.57917196
2	1	0.4589777
3	1	0.6192992
4	1	-0.10002501
5	1	0.4873107
6	1	0.47661203
7	1	0.38988572
8	1	0.48699155
9	1	0.64708066
10	1	0.38916963
11	1	0.5576781
12	1	0.58965915
13	1	0.5472425
14	1	0.63808244
15	1	0.33468974
16	1	0.581095
17	1	0.59607
18	1	0.62417895
19	1	0.52770215
20	4	0.41836223
21	4	0.4616542
22	4	0.43565026
23	4	0.44602612
24	4	0.32319432
25	4	0.56430507
26	4	0.40586445
27	4	0.39589387
28	4	0.52451104
29	4	0.44520319
30	4	0.5375751
31	4	0.45978758
32	4	0.43359298
33	4	0.25890332
34	4	0.2943973
35	4	0.48936537
36	4	0.46418774
37	4	0.43653333
38	4	0.46161413
39	4	0.48665512
40	7	0.4237133
41	7	-0.7094837
42	7	0.26766017
43	7	0.27658758
44	7	0.17256962
45	7	0.16759868
46	7	0.21303162
47	7	0.3304089
48	7	0.27545005
49	7	0.21920311
50	7	0.34112057
51	7	0.19803569
52	7	0.15069436
53	7	0.38399896
54	7	0.114558786
55	7	-0.18004473
56	7	0.3048148
57	7	0.24336469
58	7	-0.012698602
59	7	-0.28657776
60	10	0.07232742
61	10	0.108002946
62	10	-0.0377702
63	10	0.06860538
64	10	0.08335133
65	10	-0.12756391
66	10	0.073692426
67	10	0.06248018
68	10	-0.33407915
69	10	-0.014253074
70	10	0.07797828
71	10	-0.053887554
72	10	0.004684348
73	10	0.11867218
74	10	0.14744008
75	10	-0.030623246
76	10	-0.05374871
77	10	0.21512586
78	10	-0.4583069
79	10	0.036473434
80	13	-0.33825266
81	13	0.1938431
82	13	-0.040553942
83	13	0.118925944
84	13	0.09761791
85	13	-0.13497463
86	13	-0.36452654
87	13	-0.21434622
88	13	-0.14909248
89	13	-0.34359774
90	13	-0.14384669
91	13	-0.25568646
92	13	0.022745756
93	13	-0.2539698
94	13	-0.13095267
95	13	-0.10845393
96	13	0.044143986
97	13	-0.123370975
98	13	-0.45172554
99	13	0.044851173
100	16	-0.45461538
101	16	-0.02962672
102	16	-0.6059242
103	16	-0.57523745
104	16	-0.44828373
105	16	-0.19797575
106	16	-0.02054429
107	16	-1.065309
108	16	-0.3412353
109	16	-0.058097832
110	16	-0.09042834
111	16	-0.09830482
112	16	-0.053801943
113	16	0.06801613
114	16	-0.04423528
115	16	0.10853714
116	16	-0.33758783
117	16	-0.09432049
118	16	-0.4616783
119	16	-0.044636965
120	19	-0.16872913
121	19	0.04015744
122	19	-0.5392091
123	19	-0.122853965
124	19	-0.6230337
125	19	-0.4115724
126	19	-0.64502025
127	19	-0.3310501
128	19	-0.056948762
129	19	-0.30469522
130	19	-0.42337915
131	19	-0.7287178
132	19	-0.053597838
133	19	-0.0785307
134	19	-0.18796876
135	19	-0.078075126
136	19	-0.10423154
137	19	-0.7923929
138	19	-0.049781315
139	19	-0.28028673
140	22	0.011406863
141	22	-0.7079144
142	22	-0.46026382
143	22	-0.616499
144	22	-0.43172738
145	22	-0.037739165
146	22	-0.107177034
147	22	-0.28744158
148	22	-0.7817602
149	22	-0.67684525
150	22	-0.03197637
151	22	-0.10508008
152	22	-0.14876406
153	22	-0.2968586
154	22	-0.06393723
155	22	-0.24654719
156	22	-0.0404953
157	22	-0.55878526
158	22	-0.10270001
159	22	-0.085107595
