	n	pred
0	1	0.69361556
1	1	0.66215974
2	1	0.63510966
3	1	0.6029554
4	1	0.20620477
5	1	0.60244143
6	1	0.5788561
7	1	0.61179334
8	1	0.6436042
9	1	0.6078313
10	1	0.6450622
11	1	0.5977243
12	1	0.616212
13	1	0.65481347
14	1	0.6780617
15	1	0.53863466
16	1	0.6840872
17	1	0.61678785
18	1	0.67699707
19	1	0.59219253
20	4	0.46494228
21	4	0.68171763
22	4	0.42344308
23	4	0.59115887
24	4	0.7053819
25	4	0.59459805
26	4	0.50532037
27	4	0.39095318
28	4	0.5942046
29	4	0.5805372
30	4	0.56804055
31	4	0.5940098
32	4	0.6271986
33	4	0.5837469
34	4	0.544202
35	4	0.49960366
36	4	0.61582077
37	4	0.4202251
38	4	0.56880486
39	4	0.60415804
40	7	0.5500863
41	7	0.080044515
42	7	0.28456014
43	7	0.3284528
44	7	0.108670175
45	7	0.28576878
46	7	0.34009612
47	7	0.2225841
48	7	0.13498409
49	7	0.24933837
50	7	0.39071664
51	7	0.34264275
52	7	0.37001696
53	7	0.29632977
54	7	-0.02148997
55	7	0.2499061
56	7	0.17381047
57	7	0.21878155
58	7	0.04175069
59	7	0.27673504
60	10	0.04468832
61	10	0.26881945
62	10	-0.017272562
63	10	0.089355946
64	10	0.060709897
65	10	-0.14309734
66	10	-0.019448698
67	10	0.020078242
68	10	-0.059714995
69	10	-0.14799027
70	10	0.014029354
71	10	-0.028235797
72	10	-0.051882528
73	10	0.0057875486
74	10	-0.046187915
75	10	0.013413871
76	10	0.05926098
77	10	0.26684204
78	10	-0.2768308
79	10	0.011798165
80	13	-0.025084198
81	13	0.1521068
82	13	-0.07480031
83	13	0.09126363
84	13	0.30030084
85	13	-0.23667054
86	13	-0.2173571
87	13	-0.08304727
88	13	0.016471125
89	13	0.042131636
90	13	0.010265503
91	13	0.013934329
92	13	-0.004930014
93	13	-0.15290219
94	13	0.10976321
95	13	0.13827688
96	13	-0.12444127
97	13	0.04204239
98	13	-0.1803462
99	13	0.15376426
100	16	-0.2775695
101	16	0.0111729335
102	16	-0.29427528
103	16	-0.07822984
104	16	-0.16779073
105	16	-0.28232628
106	16	0.106663294
107	16	-0.37842596
108	16	-0.29815313
109	16	-0.070612855
110	16	-0.3698542
111	16	-0.29677624
112	16	-0.073252685
113	16	0.049150698
114	16	-0.16848354
115	16	0.19236396
116	16	-0.30277887
117	16	-0.13641822
118	16	-0.1493288
119	16	-0.09480017
120	19	-0.41420403
121	19	0.15551661
122	19	-0.120677434
123	19	-0.02499374
124	19	-0.19420345
125	19	-0.25890684
126	19	-0.30430517
127	19	-0.26252654
128	19	-0.14647461
129	19	-0.37087455
130	19	-0.14459461
131	19	-0.4157206
132	19	0.36788082
133	19	-0.09322377
134	19	-0.14618634
135	19	-0.16950452
136	19	-0.39914635
137	19	-0.2795402
138	19	-0.26895216
139	19	-0.23783399
140	22	0.14030235
141	22	-0.15433098
142	22	-0.103112675
143	22	-0.19969194
144	22	-0.23035188
145	22	0.07728302
146	22	0.060107265
147	22	-0.3168226
148	22	-0.3462241
149	22	-0.36105675
150	22	0.062148776
151	22	-0.13879918
152	22	0.19368003
153	22	-0.28393424
154	22	-0.029433195
155	22	-0.13327083
156	22	-0.092232704
157	22	-0.5540991
158	22	-0.26611635
159	22	-0.08572542
