	n	pred
0	1	0.46506786
1	1	0.65721303
2	1	0.63631684
3	1	0.5281907
4	1	0.089470565
5	1	0.54169744
6	1	0.43835756
7	1	0.49276286
8	1	0.56986845
9	1	0.549362
10	1	0.5584455
11	1	0.62773293
12	1	0.6302302
13	1	0.6746636
14	1	0.5903701
15	1	0.40588477
16	1	0.5536504
17	1	0.6182867
18	1	0.5820131
19	1	0.46811497
20	4	0.4986353
21	4	0.47370926
22	4	0.4302131
23	4	0.36588103
24	4	0.5127936
25	4	0.42553684
26	4	0.48400363
27	4	0.4079647
28	4	0.4135384
29	4	0.40916032
30	4	0.48868415
31	4	0.48098943
32	4	0.47488183
33	4	0.33089784
34	4	0.40753415
35	4	0.50051385
36	4	0.42769963
37	4	0.4946857
38	4	0.42203903
39	4	0.4920765
40	7	0.34167197
41	7	0.016925093
42	7	0.09281583
43	7	0.06642341
44	7	0.2832652
45	7	0.08181293
46	7	0.11311382
47	7	0.06062195
48	7	0.11877428
49	7	0.06608611
50	7	0.3017144
51	7	0.28181607
52	7	0.25314268
53	7	0.25133252
54	7	-0.11626004
55	7	0.17571111
56	7	0.06436558
57	7	0.2564522
58	7	-0.28141564
59	7	0.27395004
60	10	-0.09763563
61	10	-0.13612777
62	10	-0.020888042
63	10	-0.17740943
64	10	-0.18880557
65	10	-0.19044745
66	10	-0.25601736
67	10	-0.40184975
68	10	-0.24410938
69	10	-0.124125406
70	10	-0.13194911
71	10	-0.31013638
72	10	-0.17485856
73	10	-0.18648079
74	10	0.20611976
75	10	0.053989924
76	10	0.12933186
77	10	0.13522671
78	10	-0.42766783
79	10	-0.24824761
80	13	0.03685911
81	13	-0.032558147
82	13	-0.1971208
83	13	-0.17336507
84	13	0.031356476
85	13	-0.27214733
86	13	-0.30584902
87	13	-0.30868
88	13	0.13858911
89	13	-0.0024615973
90	13	0.04095999
91	13	0.04634372
92	13	0.040373407
93	13	-0.13668542
94	13	-0.037760023
95	13	0.045192443
96	13	-0.18831208
97	13	-0.034296747
98	13	-0.39858866
99	13	-0.06043182
100	16	-0.61917144
101	16	0.034728494
102	16	-0.2666859
103	16	-0.07207976
104	16	-0.3791751
105	16	-0.33883727
106	16	-0.15450704
107	16	-0.8749713
108	16	-0.30512613
109	16	-0.2113197
110	16	-0.24448942
111	16	-0.35205305
112	16	-0.41333252
113	16	-0.3879066
114	16	-0.1525744
115	16	-0.053228658
116	16	-0.62789065
117	16	-0.21483059
118	16	-0.0003877785
119	16	-0.35312486
120	19	-0.27354395
121	19	-0.027541999
122	19	-0.13473853
123	19	-0.3745147
124	19	-0.683197
125	19	-0.16316879
126	19	-0.46945664
127	19	-0.49150538
128	19	-0.39361784
129	19	-0.555051
130	19	-0.33228666
131	19	-0.47993246
132	19	0.103569105
133	19	-0.4500389
134	19	-0.32023343
135	19	-0.3661992
136	19	-0.31236282
137	19	-0.44635963
138	19	-0.6431667
139	19	-0.61087155
140	22	-0.050679285
141	22	-0.2124952
142	22	-0.38555312
143	22	-0.44314387
144	22	-0.40537086
145	22	-0.45785576
146	22	-0.020485342
147	22	-0.18035242
148	22	-0.6089045
149	22	-0.7593007
150	22	-0.16456315
151	22	-0.21856293
152	22	-0.64235884
153	22	-0.46926335
154	22	-0.02342974
155	22	-0.4252685
156	22	-0.4689438
157	22	-0.6907153
158	22	-0.24801753
159	22	-0.6135355
