	n	pred
0	0	0.6581639
1	0	0.64267325
2	0	0.72342277
3	0	0.56407833
4	0	0.1934979
5	0	0.54628235
6	0	0.5545086
7	0	0.6029023
8	0	0.6632043
9	0	0.5900664
10	0	0.7411154
11	0	0.6293469
12	0	0.6287194
13	0	0.71627516
14	0	0.64328134
15	0	0.51427555
16	0	0.6666785
17	0	0.5996576
18	0	0.6527514
19	0	0.62084705
20	12	0.6671959
21	12	0.59049946
22	12	0.53951865
23	12	0.6153487
24	12	0.65461636
25	12	0.6799353
26	12	0.5607701
27	12	0.49931604
28	12	0.6086104
29	12	0.6250006
30	12	0.6102788
31	12	0.69354165
32	12	0.68593276
33	12	0.583424
34	12	0.5047504
35	12	0.5537399
36	12	0.54498583
37	12	0.63547224
38	12	0.70712346
39	12	0.6461635
40	24	0.61147726
41	24	0.51940465
42	24	0.5338747
43	24	0.4978383
44	24	0.46505892
45	24	0.4336731
46	24	0.5780405
47	24	0.45063436
48	24	0.53057855
49	24	0.49316618
50	24	0.50618625
51	24	0.561404
52	24	0.46298602
53	24	0.4508665
54	24	0.52520525
55	24	0.5886159
56	24	0.5552206
57	24	0.53867185
58	24	0.5892621
59	24	0.6056613
60	36	0.41845366
61	36	0.38618407
62	36	0.44861642
63	36	0.5564187
64	36	0.48012537
65	36	0.42922226
66	36	0.4856726
67	36	0.52907676
68	36	0.43487412
69	36	0.40874425
70	36	0.34379628
71	36	0.56364435
72	36	0.5448529
73	36	0.58846724
74	36	0.50038993
75	36	0.25053054
76	36	0.5429946
77	36	0.463447
78	36	0.57211775
79	36	0.5623123
80	48	0.60970455
81	48	0.38366255
82	48	0.520079
83	48	0.5043228
84	48	0.54307574
85	48	0.54297537
86	48	0.5484656
87	48	0.48652455
88	48	0.58652705
89	48	0.5696313
90	48	0.5178642
91	48	0.62090933
92	48	0.4694017
93	48	0.52144766
94	48	0.65748996
95	48	0.13028486
96	48	0.5687614
97	48	0.68207735
98	48	0.396463
99	48	0.62692493
100	60	0.6073253
101	60	0.58168936
102	60	0.6606777
103	60	0.64434075
104	60	0.6173595
105	60	0.54329485
106	60	0.6040071
107	60	0.5934455
108	60	0.57129955
109	60	0.614847
110	60	0.46716666
111	60	0.7922284
112	60	0.5763594
113	60	0.54341334
114	60	0.6728152
115	60	0.5455843
116	60	0.70827156
117	60	0.5969813
118	60	0.5435976
119	60	0.6899673
120	72	0.6337551
121	72	0.6672666
122	72	0.7251627
123	72	0.54550105
124	72	0.5225455
125	72	0.7487455
126	72	0.61820567
127	72	0.6477383
128	72	0.4836614
129	72	0.5697317
130	72	0.6359663
131	72	0.52687496
132	72	0.42737454
133	72	0.6664007
134	72	0.632836
135	72	0.6815596
136	72	0.6877042
137	72	0.5705518
138	72	0.60128134
139	72	0.61276144
140	84	0.5413546
141	84	0.6625103
142	84	0.62172127
143	84	0.6405179
144	84	0.6316945
145	84	0.6859693
146	84	0.57715213
147	84	0.6232739
148	84	0.49087578
149	84	0.5434071
150	84	0.5246187
151	84	0.511557
152	84	0.5924685
153	84	0.6053533
154	84	0.58552635
155	84	0.5941262
156	84	0.64263254
157	84	0.5904478
158	84	0.7272945
159	84	0.5870414
