	n	pred
0	0	0.42338988
1	0	0.4235475
2	0	0.6023938
3	0	0.67465746
4	0	0.032321565
5	0	0.5611797
6	0	0.3964966
7	0	0.41209725
8	0	0.5251359
9	0	0.456478
10	0	0.43455663
11	0	0.5335195
12	0	0.4888169
13	0	0.5355021
14	0	0.57723355
15	0	0.42528617
16	0	0.57341605
17	0	0.5664287
18	0	0.52199936
19	0	0.5278497
20	12	0.5641692
21	12	0.2664319
22	12	0.5491147
23	12	0.4087483
24	12	0.48307586
25	12	0.5923009
26	12	0.47463706
27	12	0.58988005
28	12	0.51509404
29	12	0.48293206
30	12	0.50933576
31	12	0.47150812
32	12	0.49042544
33	12	0.35905558
34	12	0.45660785
35	12	0.55110294
36	12	0.41984794
37	12	0.5293329
38	12	0.5351687
39	12	0.43508193
40	24	0.36780593
41	24	0.35415795
42	24	0.39980227
43	24	0.42391047
44	24	0.42717543
45	24	0.29954058
46	24	0.49353802
47	24	0.32557538
48	24	0.47643387
49	24	0.38999012
50	24	0.5083047
51	24	0.34605154
52	24	0.37720656
53	24	0.5110712
54	24	0.43604577
55	24	0.37724173
56	24	0.51859885
57	24	0.3297577
58	24	0.42130518
59	24	0.31024778
60	36	0.5040676
61	36	0.24051437
62	36	0.38190863
63	36	0.47093543
64	36	0.2663866
65	36	0.37390113
66	36	0.35425863
67	36	0.35090253
68	36	0.29333815
69	36	0.3004131
70	36	0.40683743
71	36	0.33460695
72	36	0.3910828
73	36	0.56382316
74	36	0.2913431
75	36	0.32851407
76	36	0.40307882
77	36	0.26824424
78	36	0.30929354
79	36	0.51210904
80	48	0.51045656
81	48	0.34112152
82	48	0.2567875
83	48	0.54502445
84	48	0.32268754
85	48	0.4501857
86	48	0.27310845
87	48	0.26696658
88	48	0.47314867
89	48	0.3347516
90	48	0.38368312
91	48	0.46390188
92	48	0.35910794
93	48	0.4309548
94	48	0.35921144
95	48	0.022860277
96	48	0.46460196
97	48	0.5231318
98	48	0.30863765
99	48	0.31627977
100	60	0.47089657
101	60	0.35338292
102	60	0.5117255
103	60	0.40152377
104	60	0.54268944
105	60	0.6226837
106	60	0.5098571
107	60	0.47734678
108	60	0.55051607
109	60	0.52925503
110	60	0.3078619
111	60	0.44596726
112	60	0.43911627
113	60	0.33773854
114	60	0.4567688
115	60	0.50541127
116	60	0.6137842
117	60	0.54902583
118	60	0.46076408
119	60	0.47096708
120	72	0.5743958
121	72	0.5287749
122	72	0.5316744
123	72	0.4423857
124	72	0.44148722
125	72	0.5148893
126	72	0.43635997
127	72	0.63548046
128	72	0.21051773
129	72	0.6572976
130	72	0.5611097
131	72	0.4936346
132	72	0.23202331
133	72	0.61438656
134	72	0.45414448
135	72	0.5905145
136	72	0.45800248
137	72	0.3975933
138	72	0.3439784
139	72	0.6876813
140	84	0.42645293
141	84	0.46034083
142	84	0.51669884
143	84	0.5756604
144	84	0.4533368
145	84	0.51035905
146	84	0.47205925
147	84	0.55247825
148	84	0.3311013
149	84	0.58039623
150	84	0.5297535
151	84	0.3702662
152	84	0.37306374
153	84	0.5759136
154	84	0.5454364
155	84	0.33882532
156	84	0.4379118
157	84	0.54560715
158	84	0.54053086
159	84	0.40590113
