	n	pred
0	0	0.32273963
1	0	0.47299144
2	0	0.50454324
3	0	0.4864855
4	0	0.09098612
5	0	0.4958512
6	0	0.41174456
7	0	0.49389943
8	0	0.5070712
9	0	0.32844043
10	0	0.43881544
11	0	0.51788545
12	0	0.45573273
13	0	0.48921257
14	0	0.44076318
15	0	0.36154628
16	0	0.4156067
17	0	0.44790068
18	0	0.5424069
19	0	0.47466084
20	12	0.48252454
21	12	0.34350672
22	12	0.46332848
23	12	0.44563988
24	12	0.43474993
25	12	0.38264346
26	12	0.38629153
27	12	0.32398567
28	12	0.4721338
29	12	0.47910216
30	12	0.45559812
31	12	0.47074258
32	12	0.4794133
33	12	0.34852612
34	12	0.33605233
35	12	0.49071452
36	12	0.36325267
37	12	0.4127529
38	12	0.45318583
39	12	0.31491318
40	24	0.35204217
41	24	0.23951857
42	24	0.3104981
43	24	0.35132262
44	24	0.2279491
45	24	0.25899795
46	24	0.34543884
47	24	0.31741777
48	24	0.33453038
49	24	0.3428418
50	24	0.27265716
51	24	0.3111735
52	24	0.30916592
53	24	0.4101578
54	24	0.31119958
55	24	0.26387042
56	24	0.34980863
57	24	0.35751665
58	24	0.30774572
59	24	0.24967976
60	36	0.23253924
61	36	0.09537706
62	36	0.05306886
63	36	0.32185072
64	36	0.21123905
65	36	0.20969957
66	36	0.26453376
67	36	0.2473693
68	36	0.26424065
69	36	0.28677183
70	36	0.27176997
71	36	0.25417653
72	36	0.45011923
73	36	0.40956756
74	36	0.27340803
75	36	0.13621853
76	36	0.2915212
77	36	0.23450212
78	36	0.34008896
79	36	0.3882078
80	48	0.2965178
81	48	0.35086134
82	48	0.2979783
83	48	0.46080288
84	48	0.40070784
85	48	0.41813478
86	48	0.29678968
87	48	0.36868247
88	48	0.26568303
89	48	0.16392381
90	48	0.270171
91	48	0.2939015
92	48	0.26663858
93	48	0.4060208
94	48	0.32090437
95	48	0.09587854
96	48	0.327007
97	48	0.38078597
98	48	0.24792556
99	48	0.3948593
100	60	0.48270333
101	60	0.49321833
102	60	0.42791167
103	60	0.3783452
104	60	0.44247577
105	60	0.49820063
106	60	0.44134313
107	60	0.40127352
108	60	0.49896815
109	60	0.3960534
110	60	0.29783323
111	60	0.4255178
112	60	0.5041962
113	60	0.3996757
114	60	0.48042548
115	60	0.50288767
116	60	0.39531705
117	60	0.5635731
118	60	0.32766268
119	60	0.45094544
120	72	0.4510319
121	72	0.5044504
122	72	0.50858337
123	72	0.41020218
124	72	0.3336344
125	72	0.46269253
126	72	0.4298614
127	72	0.5180798
128	72	0.4332707
129	72	0.44522026
130	72	0.35915473
131	72	0.2826449
132	72	0.110997796
133	72	0.44676816
134	72	0.4220587
135	72	0.5058965
136	72	0.56300485
137	72	0.34803525
138	72	0.49750772
139	72	0.50070643
140	84	0.49628022
141	84	0.31762877
142	84	0.4609856
143	84	0.46177247
144	84	0.3409865
145	84	0.5706477
146	84	0.40764013
147	84	0.4344069
148	84	0.35180205
149	84	0.30297318
150	84	0.31754765
151	84	0.31054193
152	84	0.43549693
153	84	0.3941039
154	84	0.4075087
155	84	0.30829135
156	84	0.54831743
157	84	0.42298785
158	84	0.41519114
159	84	0.508362
