	n	pred
0	0	0.34755772
1	0	0.48877987
2	0	0.5538698
3	0	0.4879411
4	0	0.24495687
5	0	0.45971015
6	0	0.36244088
7	0	0.41719592
8	0	0.504991
9	0	0.44013596
10	0	0.5111006
11	0	0.5122192
12	0	0.5650273
13	0	0.47248045
14	0	0.59273523
15	0	0.27186576
16	0	0.49461728
17	0	0.49997833
18	0	0.539591
19	0	0.44331127
20	12	0.47023445
21	12	0.32722834
22	12	0.49977008
23	12	0.4903288
24	12	0.3941658
25	12	0.49710152
26	12	0.46577728
27	12	0.46997133
28	12	0.45244956
29	12	0.4231815
30	12	0.52745247
31	12	0.5309793
32	12	0.35584176
33	12	0.31053108
34	12	0.30087543
35	12	0.42643416
36	12	0.44995353
37	12	0.5739439
38	12	0.45639515
39	12	0.49635482
40	24	0.36508766
41	24	0.16935399
42	24	0.4491344
43	24	0.38296992
44	24	0.3962853
45	24	0.29572594
46	24	0.397309
47	24	0.35442996
48	24	0.4572671
49	24	0.5230932
50	24	0.39840037
51	24	0.2846284
52	24	0.37677205
53	24	0.42228284
54	24	0.34435096
55	24	0.34985033
56	24	0.3647324
57	24	0.44157648
58	24	0.3310794
59	24	0.51551205
60	36	0.3985471
61	36	0.3626814
62	36	0.3779602
63	36	0.4070518
64	36	0.43836108
65	36	0.33590737
66	36	0.49271396
67	36	0.43545952
68	36	0.42352858
69	36	0.11962258
70	36	0.2640917
71	36	0.32282078
72	36	0.45228437
73	36	0.40320548
74	36	0.38440424
75	36	0.24687795
76	36	0.41756687
77	36	0.046690203
78	36	0.30006987
79	36	0.3539257
80	48	0.35933277
81	48	0.2779742
82	48	0.18217437
83	48	0.40805233
84	48	0.5060924
85	48	0.41782495
86	48	0.4431457
87	48	0.25987402
88	48	0.45920485
89	48	0.33143538
90	48	0.3911029
91	48	0.35797727
92	48	0.3554403
93	48	0.34523892
94	48	0.37983382
95	48	0.17668808
96	48	0.3872859
97	48	0.3328865
98	48	0.2743292
99	48	0.55683
100	60	0.58621806
101	60	0.311616
102	60	0.53043973
103	60	0.4709965
104	60	0.52232236
105	60	0.4179197
106	60	0.40440905
107	60	0.38150543
108	60	0.46816456
109	60	0.47321773
110	60	0.3391245
111	60	0.51535946
112	60	0.39938548
113	60	0.35253808
114	60	0.49358338
115	60	0.4394477
116	60	0.58246833
117	60	0.5386254
118	60	0.4365028
119	60	0.45316303
120	72	0.51697534
121	72	0.5109561
122	72	0.4977059
123	72	0.36422476
124	72	0.40276027
125	72	0.5343514
126	72	0.4685695
127	72	0.5572423
128	72	0.4097909
129	72	0.5937502
130	72	0.5059376
131	72	0.3903943
132	72	0.0150840115
133	72	0.49297583
134	72	0.5115735
135	72	0.46404475
136	72	0.4953321
137	72	0.40826267
138	72	0.3500379
139	72	0.5226553
140	84	0.45621005
141	84	0.45684117
142	84	0.5465111
143	84	0.52825433
144	84	0.54028684
145	84	0.45938954
146	84	0.40865514
147	84	0.5549223
148	84	0.18754868
149	84	0.42740798
150	84	0.429787
151	84	0.42414933
152	84	0.4160793
153	84	0.5293288
154	84	0.42264208
155	84	0.3823173
156	84	0.5005323
157	84	0.49462605
158	84	0.56403524
159	84	0.4380991
