	n	pred
0	0	0.46393543
1	0	0.3916466
2	0	0.4197048
3	0	0.6053324
4	0	0.018840028
5	0	0.5430456
6	0	0.34756428
7	0	0.44987214
8	0	0.42108172
9	0	0.12550274
10	0	0.46638972
11	0	0.5173142
12	0	0.41202143
13	0	0.44527024
14	0	0.39287445
15	0	0.385512
16	0	0.45848465
17	0	0.46342456
18	0	0.4269297
19	0	0.52622044
20	12	0.44999248
21	12	0.1554913
22	12	0.36114514
23	12	0.3710212
24	12	0.49954653
25	12	0.5446033
26	12	0.5260934
27	12	0.4356454
28	12	0.36962533
29	12	0.40304425
30	12	0.40430748
31	12	0.39900023
32	12	0.5250729
33	12	0.30676955
34	12	0.36379346
35	12	0.40071127
36	12	0.33320385
37	12	0.49570066
38	12	0.5072178
39	12	0.45940542
40	24	0.34528694
41	24	0.33291808
42	24	0.3833073
43	24	0.48109192
44	24	0.44698542
45	24	0.30193156
46	24	0.46322232
47	24	0.41365787
48	24	0.38639456
49	24	0.39832667
50	24	0.38762468
51	24	0.42493773
52	24	0.34270447
53	24	0.55000275
54	24	0.41199622
55	24	0.28319815
56	24	0.42769638
57	24	0.30219358
58	24	0.3512846
59	24	0.3122377
60	36	0.42897967
61	36	0.117496826
62	36	0.16768454
63	36	0.48727024
64	36	0.26367277
65	36	0.35780028
66	36	0.25389886
67	36	0.33692944
68	36	0.18841787
69	36	0.30598047
70	36	0.42628205
71	36	0.33467972
72	36	0.2717688
73	36	0.389981
74	36	0.37496632
75	36	0.29258308
76	36	0.3166547
77	36	0.06463543
78	36	0.39747182
79	36	0.39546505
80	48	0.3722022
81	48	0.3634566
82	48	0.45269626
83	48	0.517151
84	48	0.38139692
85	48	0.3736492
86	48	0.1889158
87	48	0.31619096
88	48	0.38924083
89	48	0.23198663
90	48	0.33268666
91	48	0.3418399
92	48	0.32303354
93	48	0.39431456
94	48	0.37830186
95	48	0.011739742
96	48	0.6172172
97	48	0.27927747
98	48	0.37558228
99	48	0.23596087
100	60	0.47129315
101	60	0.36954883
102	60	0.380475
103	60	0.3794065
104	60	0.5286202
105	60	0.63418764
106	60	0.45424747
107	60	0.42874992
108	60	0.5388263
109	60	0.37098953
110	60	0.37607965
111	60	0.31616408
112	60	0.34640196
113	60	0.20227815
114	60	0.4431901
115	60	0.47716126
116	60	0.6070196
117	60	0.61873084
118	60	0.39287344
119	60	0.4694741
120	72	0.5001315
121	72	0.4511751
122	72	0.47281516
123	72	0.3984205
124	72	0.40549266
125	72	0.48464745
126	72	0.4993118
127	72	0.4588651
128	72	0.26996672
129	72	0.47763798
130	72	0.2565524
131	72	0.36638963
132	72	0.16588219
133	72	0.39140815
134	72	0.4424869
135	72	0.44692144
136	72	0.47584787
137	72	0.3825159
138	72	0.33218783
139	72	0.59225094
140	84	0.51598483
141	84	0.48736948
142	84	0.35088962
143	84	0.5442411
144	84	0.31245476
145	84	0.32898778
146	84	0.568509
147	84	0.57626873
148	84	0.35209867
149	84	0.5233892
150	84	0.42563018
151	84	0.10715747
152	84	0.56937003
153	84	0.39860183
154	84	0.5432602
155	84	0.25912708
156	84	0.4249479
157	84	0.4072986
158	84	0.42893082
159	84	0.45080364
